 frequency      v(net6)        v(net6)       
 1.0000000e+00  2.0362522e+00 -4.5106213e-06 
 1.2589254e+00  2.0362522e+00 -5.6785358e-06 
 1.5848932e+00  2.0362522e+00 -7.1488531e-06 
 1.9952623e+00  2.0362522e+00 -8.9998728e-06 
 2.5118864e+00  2.0362522e+00 -1.1330169e-05 
 3.1622777e+00  2.0362522e+00 -1.4263837e-05 
 3.9810717e+00  2.0362522e+00 -1.7957107e-05 
 5.0118723e+00  2.0362522e+00 -2.2606658e-05 
 6.3095734e+00  2.0362522e+00 -2.8460097e-05 
 7.9432823e+00  2.0362522e+00 -3.5829139e-05 
 1.0000000e+01  2.0362522e+00 -4.5106213e-05 
 1.2589254e+01  2.0362522e+00 -5.6785358e-05 
 1.5848932e+01  2.0362522e+00 -7.1488531e-05 
 1.9952623e+01  2.0362522e+00 -8.9998728e-05 
 2.5118864e+01  2.0362522e+00 -1.1330169e-04 
 3.1622777e+01  2.0362522e+00 -1.4263837e-04 
 3.9810717e+01  2.0362522e+00 -1.7957107e-04 
 5.0118723e+01  2.0362522e+00 -2.2606658e-04 
 6.3095734e+01  2.0362522e+00 -2.8460096e-04 
 7.9432823e+01  2.0362522e+00 -3.5829138e-04 
 1.0000000e+02  2.0362521e+00 -4.5106212e-04 
 1.2589254e+02  2.0362521e+00 -5.6785355e-04 
 1.5848932e+02  2.0362520e+00 -7.1488524e-04 
 1.9952623e+02  2.0362519e+00 -8.9998715e-04 
 2.5118864e+02  2.0362517e+00 -1.1330166e-03 
 3.1622777e+02  2.0362514e+00 -1.4263832e-03 
 3.9810717e+02  2.0362508e+00 -1.7957096e-03 
 5.0118723e+02  2.0362500e+00 -2.2606637e-03 
 6.3095734e+02  2.0362488e+00 -2.8460055e-03 
 7.9432823e+02  2.0362467e+00 -3.5829055e-03 
 1.0000000e+03  2.0362435e+00 -4.5106046e-03 
 1.2589254e+03  2.0362384e+00 -5.6785025e-03 
 1.5848932e+03  2.0362303e+00 -7.1487865e-03 
 1.9952623e+03  2.0362175e+00 -8.9997400e-03 
 2.5118864e+03  2.0361973e+00 -1.1329904e-02 
 3.1622777e+03  2.0361651e+00 -1.4263309e-02 
 3.9810717e+03  2.0361142e+00 -1.7956052e-02 
 5.0118723e+03  2.0360334e+00 -2.2604554e-02 
 6.3095734e+03  2.0359055e+00 -2.8455898e-02 
 7.9432823e+03  2.0357027e+00 -3.5820763e-02 
 1.0000000e+04  2.0353815e+00 -4.5089503e-02 
 1.2589254e+04  2.0348725e+00 -5.6752025e-02 
 1.5848932e+04  2.0340662e+00 -7.1422044e-02 
 1.9952623e+04  2.0327895e+00 -8.9866142e-02 
 2.5118864e+04  2.0307689e+00 -1.1303737e-01 
 3.1622777e+04  2.0275736e+00 -1.4211170e-01 
 3.9810717e+04  2.0225269e+00 -1.7852247e-01 
 5.0118723e+04  2.0145726e+00 -2.2398143e-01 
 6.3095734e+04  2.0020755e+00 -2.8046271e-01 
 7.9432823e+04  1.9825397e+00 -3.5010364e-01 
 1.0000000e+05  1.9522391e+00 -4.3493944e-01 
 1.2589254e+05  1.9058096e+00 -5.3633891e-01 
 1.5848932e+05  1.8359733e+00 -6.5396904e-01 
 1.9952623e+05  1.7338071e+00 -7.8417567e-01 
 2.5118864e+05  1.5902590e+00 -9.1801335e-01 
 3.1622777e+05  1.3996074e+00 -1.0399871e+00 
 3.9810717e+05  1.1644848e+00 -1.1295695e+00 
 5.0118723e+05  8.9966291e-01 -1.1671724e+00 
 6.3095734e+05  6.3024727e-01 -1.1427782e+00 
 7.9432823e+05  3.8317861e-01 -1.0611972e+00 
 1.0000000e+06  1.7743158e-01 -9.3931934e-01 
 1.2589254e+06  1.9740505e-02 -7.9785028e-01 
 1.5848932e+06 -9.3037449e-02 -6.5398157e-01 
 1.9952623e+06 -1.6882155e-01 -5.1846656e-01 
 2.5118864e+06 -2.1611555e-01 -3.9626478e-01 
 3.1622777e+06 -2.4184014e-01 -2.8857716e-01 
 3.9810717e+06 -2.5075154e-01 -1.9485809e-01 
 5.0118723e+06 -2.4577473e-01 -1.1432402e-01 
 6.3095734e+06 -2.2884453e-01 -4.6868513e-02 
 7.9432823e+06 -2.0199738e-01  6.7242028e-03 
 1.0000000e+07 -1.6829249e-01  4.5391558e-02 
 1.2589254e+07 -1.3193299e-01  6.8977439e-02 
 1.5848932e+07 -9.7321877e-02  7.9132915e-02 
 1.9952623e+07 -6.7716214e-02  7.9136056e-02 
 2.5118864e+07 -4.4521512e-02  7.2809803e-02 
 3.1622777e+07 -2.7549010e-02  6.3437280e-02 
 3.9810717e+07 -1.5747704e-02  5.3270650e-02 
 5.0118723e+07 -7.8526708e-03  4.3583287e-02 
 6.3095734e+07 -2.7431391e-03  3.4953118e-02 
 7.9432823e+07  4.3841241e-04  2.7549445e-02 
 1.0000000e+08  2.2950239e-03  2.1340869e-02 
 1.2589254e+08  3.2329959e-03  1.6222283e-02 
 1.5848932e+08  3.5296226e-03  1.2080528e-02 
 1.9952623e+08  3.3926806e-03  8.8154281e-03 
 2.5118864e+08  2.9983453e-03  6.3305613e-03 
 3.1622777e+08  2.4993883e-03  4.5144160e-03 
 3.9810717e+08  2.0119130e-03  3.2348317e-03 
 5.0118723e+08  1.6030129e-03  2.3537347e-03 
 6.3095734e+08  1.2943695e-03  1.7487865e-03 
 7.9432823e+08  1.0782103e-03  1.3264688e-03 
 1.0000000e+09  9.3435702e-04  1.0230121e-03 
 1.2589254e+09  8.4160036e-04  7.9812428e-04 
 1.5848932e+09  7.8277530e-04  6.2718420e-04 
 1.9952623e+09  7.4571295e-04  4.9496624e-04 
 2.5118864e+09  7.2238855e-04  3.9159688e-04 
 3.1622777e+09  7.0769646e-04  3.1027426e-04 
 3.9810717e+09  6.9843152e-04  2.4606200e-04 
 5.0118723e+09  6.9258491e-04  1.9524815e-04 
 6.3095734e+09  6.8889441e-04  1.5498130e-04 
 7.9432823e+09  6.8656485e-04  1.2304355e-04 
 1.0000000e+10  6.8509447e-04  9.7696729e-05 
