0.00.285.698 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.286.251 W srv  llama_server: -----------------
0.00.286.258 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.286.259 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.286.259 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.286.259 W srv  llama_server: -----------------
0.00.287.684 I srv    load_model: loading model '/tmp/Qwen3-14B-Q4_K_M.gguf'
0.01.326.154 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.04.479.834 I cmn          init: llama threadpool init, n_threads = 2
0.04.710.577 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.04.721.825 I srv  llama_server: model loaded
0.04.721.835 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.721.836 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.721.836 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.05.513.078 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.513.171 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.138.948 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  24.85 t/s, tg_3s =  25.10 t/s
0.14.173.902 I slot print_timing: id  0 | task 0 | n_gen =    175, tg =  24.79 t/s, tg_3s =  24.71 t/s
0.17.175.564 I slot print_timing: id  0 | task 0 | n_gen =    249, tg =  24.75 t/s, tg_3s =  24.65 t/s
0.20.215.671 I slot print_timing: id  0 | task 0 | n_gen =    324, tg =  24.73 t/s, tg_3s =  24.67 t/s
0.23.256.046 I slot print_timing: id  0 | task 0 | n_gen =    399, tg =  24.72 t/s, tg_3s =  24.67 t/s
0.26.264.730 I slot print_timing: id  0 | task 0 | n_gen =    473, tg =  24.70 t/s, tg_3s =  24.60 t/s
0.29.264.748 I slot print_timing: id  0 | task 0 | n_gen =    547, tg =  24.69 t/s, tg_3s =  24.67 t/s
0.32.277.492 I slot print_timing: id  0 | task 0 | n_gen =    621, tg =  24.68 t/s, tg_3s =  24.56 t/s
0.35.296.858 I slot print_timing: id  0 | task 0 | n_gen =    695, tg =  24.66 t/s, tg_3s =  24.51 t/s
0.38.321.986 I slot print_timing: id  0 | task 0 | n_gen =    769, tg =  24.64 t/s, tg_3s =  24.46 t/s
0.41.348.421 I slot print_timing: id  0 | task 0 | n_gen =    843, tg =  24.62 t/s, tg_3s =  24.45 t/s
0.44.385.058 I slot print_timing: id  0 | task 0 | n_gen =    917, tg =  24.60 t/s, tg_3s =  24.37 t/s
0.47.388.655 I slot print_timing: id  0 | task 0 | n_gen =    990, tg =  24.58 t/s, tg_3s =  24.30 t/s
0.50.398.810 I slot print_timing: id  0 | task 0 | n_gen =   1063, tg =  24.56 t/s, tg_3s =  24.25 t/s
0.53.418.225 I slot print_timing: id  0 | task 0 | n_gen =   1136, tg =  24.53 t/s, tg_3s =  24.18 t/s
0.56.441.920 I slot print_timing: id  0 | task 0 | n_gen =   1209, tg =  24.51 t/s, tg_3s =  24.14 t/s
0.59.481.685 I slot print_timing: id  0 | task 0 | n_gen =   1282, tg =  24.48 t/s, tg_3s =  24.02 t/s
1.02.486.643 I slot print_timing: id  0 | task 0 | n_gen =   1354, tg =  24.45 t/s, tg_3s =  23.96 t/s
1.05.496.488 I slot print_timing: id  0 | task 0 | n_gen =   1426, tg =  24.43 t/s, tg_3s =  23.92 t/s
1.08.517.743 I slot print_timing: id  0 | task 0 | n_gen =   1498, tg =  24.40 t/s, tg_3s =  23.83 t/s
1.11.549.539 I slot print_timing: id  0 | task 0 | n_gen =   1570, tg =  24.37 t/s, tg_3s =  23.75 t/s
1.14.584.349 I slot print_timing: id  0 | task 0 | n_gen =   1642, tg =  24.34 t/s, tg_3s =  23.72 t/s
1.17.589.594 I slot print_timing: id  0 | task 0 | n_gen =   1713, tg =  24.31 t/s, tg_3s =  23.63 t/s
1.20.607.472 I slot print_timing: id  0 | task 0 | n_gen =   1784, tg =  24.27 t/s, tg_3s =  23.53 t/s
1.23.629.296 I slot print_timing: id  0 | task 0 | n_gen =   1855, tg =  24.24 t/s, tg_3s =  23.50 t/s
1.26.659.346 I slot print_timing: id  0 | task 0 | n_gen =   1926, tg =  24.21 t/s, tg_3s =  23.43 t/s
1.29.662.864 I slot print_timing: id  0 | task 0 | n_gen =   1996, tg =  24.18 t/s, tg_3s =  23.31 t/s
1.32.689.142 I slot print_timing: id  0 | task 0 | n_gen =   2066, tg =  24.14 t/s, tg_3s =  23.13 t/s
1.35.730.223 I slot print_timing: id  0 | task 0 | n_gen =   2136, tg =  24.10 t/s, tg_3s =  23.02 t/s
1.38.734.856 I slot print_timing: id  0 | task 0 | n_gen =   2205, tg =  24.07 t/s, tg_3s =  22.96 t/s
1.41.764.006 I slot print_timing: id  0 | task 0 | n_gen =   2274, tg =  24.03 t/s, tg_3s =  22.78 t/s
1.44.793.929 I slot print_timing: id  0 | task 0 | n_gen =   2343, tg =  23.99 t/s, tg_3s =  22.77 t/s
1.47.816.516 I slot print_timing: id  0 | task 0 | n_gen =   2412, tg =  23.95 t/s, tg_3s =  22.83 t/s
1.50.831.042 I slot print_timing: id  0 | task 0 | n_gen =   2481, tg =  23.92 t/s, tg_3s =  22.89 t/s
1.53.841.078 I slot print_timing: id  0 | task 0 | n_gen =   2550, tg =  23.89 t/s, tg_3s =  22.92 t/s
1.56.841.830 I slot print_timing: id  0 | task 0 | n_gen =   2619, tg =  23.87 t/s, tg_3s =  22.99 t/s
1.59.877.129 I slot print_timing: id  0 | task 0 | n_gen =   2689, tg =  23.85 t/s, tg_3s =  23.06 t/s
2.02.909.066 I slot print_timing: id  0 | task 0 | n_gen =   2759, tg =  23.83 t/s, tg_3s =  23.09 t/s
2.05.933.795 I slot print_timing: id  0 | task 0 | n_gen =   2829, tg =  23.81 t/s, tg_3s =  23.14 t/s
2.08.952.352 I slot print_timing: id  0 | task 0 | n_gen =   2899, tg =  23.79 t/s, tg_3s =  23.19 t/s
2.11.963.331 I slot print_timing: id  0 | task 0 | n_gen =   2969, tg =  23.78 t/s, tg_3s =  23.25 t/s
2.14.994.843 I slot print_timing: id  0 | task 0 | n_gen =   3039, tg =  23.76 t/s, tg_3s =  23.09 t/s
2.18.015.218 I slot print_timing: id  0 | task 0 | n_gen =   3109, tg =  23.75 t/s, tg_3s =  23.18 t/s
2.21.035.447 I slot print_timing: id  0 | task 0 | n_gen =   3179, tg =  23.74 t/s, tg_3s =  23.18 t/s
2.24.057.273 I slot print_timing: id  0 | task 0 | n_gen =   3249, tg =  23.72 t/s, tg_3s =  23.16 t/s
2.27.089.726 I slot print_timing: id  0 | task 0 | n_gen =   3319, tg =  23.71 t/s, tg_3s =  23.08 t/s
2.28.997.189 I slot print_timing: id  0 | task 0 | prompt eval time =    1641.47 ms /  1368 tokens (    1.20 ms per token,   833.40 tokens per second)
2.28.997.201 I slot print_timing: id  0 | task 0 |        eval time =  141842.51 ms /  3363 tokens (   42.19 ms per token,    23.70 tokens per second)
2.28.997.203 I slot print_timing: id  0 | task 0 |       total time =  143483.98 ms /  4731 tokens
2.28.997.204 I slot print_timing: id  0 | task 0 |    graphs reused =       3349
2.28.997.319 I slot      release: id  0 | task 0 | stop processing: n_tokens = 4730, truncated = 0
3.45.322.506 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 513440559
3.45.997.167 I slot launch_slot_: id  0 | task 3364 | processing task, is_child = 0
3.51.743.909 I slot print_timing: id  0 | task 3364 | n_gen =    100, tg =  24.28 t/s, tg_3s =  24.53 t/s
3.54.746.158 I slot print_timing: id  0 | task 3364 | n_gen =    172, tg =  24.16 t/s, tg_3s =  23.98 t/s
3.57.770.885 I slot print_timing: id  0 | task 3364 | n_gen =    244, tg =  24.05 t/s, tg_3s =  23.80 t/s
4.00.771.147 I slot print_timing: id  0 | task 3364 | n_gen =    315, tg =  23.96 t/s, tg_3s =  23.66 t/s
