0.00.279.622 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.280.086 W srv  llama_server: -----------------
0.00.280.093 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.280.093 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.280.093 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.280.094 W srv  llama_server: -----------------
0.00.281.452 I srv    load_model: loading model '/kaggle/input/datasets/devavratpatni/circuit-repro-gguf-qwen32/Qwen3-32B-Q4_K_S.gguf'
0.01.376.641 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
1.35.678.177 I cmn          init: llama threadpool init, n_threads = 2
1.36.086.766 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.36.102.687 I srv  llama_server: model loaded
1.36.102.701 I srv  llama_server: listening on http://127.0.0.1:8080
1.36.102.701 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
1.36.102.702 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
1.38.726.501 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.38.726.574 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.50.431.849 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  12.06 t/s, tg_3s =  12.19 t/s
1.53.441.600 I slot print_timing: id  0 | task 0 | n_gen =    136, tg =  12.04 t/s, tg_3s =  11.96 t/s
1.56.519.524 I slot print_timing: id  0 | task 0 | n_gen =    173, tg =  12.03 t/s, tg_3s =  12.02 t/s
1.59.601.146 I slot print_timing: id  0 | task 0 | n_gen =    210, tg =  12.03 t/s, tg_3s =  12.01 t/s
2.02.681.320 I slot print_timing: id  0 | task 0 | n_gen =    247, tg =  12.03 t/s, tg_3s =  12.01 t/s
2.05.683.876 I slot print_timing: id  0 | task 0 | n_gen =    283, tg =  12.02 t/s, tg_3s =  11.99 t/s
2.08.688.276 I slot print_timing: id  0 | task 0 | n_gen =    319, tg =  12.02 t/s, tg_3s =  11.98 t/s
2.11.707.510 I slot print_timing: id  0 | task 0 | n_gen =    355, tg =  12.01 t/s, tg_3s =  11.92 t/s
2.14.719.701 I slot print_timing: id  0 | task 0 | n_gen =    391, tg =  12.00 t/s, tg_3s =  11.95 t/s
2.17.739.051 I slot print_timing: id  0 | task 0 | n_gen =    427, tg =  12.00 t/s, tg_3s =  11.92 t/s
2.20.766.295 I slot print_timing: id  0 | task 0 | n_gen =    463, tg =  11.99 t/s, tg_3s =  11.89 t/s
2.23.794.629 I slot print_timing: id  0 | task 0 | n_gen =    499, tg =  11.98 t/s, tg_3s =  11.89 t/s
2.26.821.669 I slot print_timing: id  0 | task 0 | n_gen =    535, tg =  11.97 t/s, tg_3s =  11.89 t/s
2.29.860.260 I slot print_timing: id  0 | task 0 | n_gen =    571, tg =  11.97 t/s, tg_3s =  11.85 t/s
2.32.899.724 I slot print_timing: id  0 | task 0 | n_gen =    607, tg =  11.96 t/s, tg_3s =  11.84 t/s
2.35.955.743 I slot print_timing: id  0 | task 0 | n_gen =    643, tg =  11.95 t/s, tg_3s =  11.78 t/s
2.39.006.176 I slot print_timing: id  0 | task 0 | n_gen =    679, tg =  11.94 t/s, tg_3s =  11.80 t/s
2.42.062.979 I slot print_timing: id  0 | task 0 | n_gen =    715, tg =  11.93 t/s, tg_3s =  11.78 t/s
2.45.121.613 I slot print_timing: id  0 | task 0 | n_gen =    751, tg =  11.92 t/s, tg_3s =  11.77 t/s
2.48.184.414 I slot print_timing: id  0 | task 0 | n_gen =    787, tg =  11.92 t/s, tg_3s =  11.75 t/s
2.51.256.999 I slot print_timing: id  0 | task 0 | n_gen =    823, tg =  11.91 t/s, tg_3s =  11.72 t/s
2.54.332.683 I slot print_timing: id  0 | task 0 | n_gen =    859, tg =  11.90 t/s, tg_3s =  11.70 t/s
2.57.416.710 I slot print_timing: id  0 | task 0 | n_gen =    895, tg =  11.89 t/s, tg_3s =  11.67 t/s
3.00.420.924 I slot print_timing: id  0 | task 0 | n_gen =    930, tg =  11.88 t/s, tg_3s =  11.65 t/s
3.03.437.302 I slot print_timing: id  0 | task 0 | n_gen =    965, tg =  11.87 t/s, tg_3s =  11.60 t/s
3.06.460.125 I slot print_timing: id  0 | task 0 | n_gen =   1000, tg =  11.86 t/s, tg_3s =  11.58 t/s
3.09.479.711 I slot print_timing: id  0 | task 0 | n_gen =   1035, tg =  11.85 t/s, tg_3s =  11.59 t/s
3.12.506.687 I slot print_timing: id  0 | task 0 | n_gen =   1070, tg =  11.84 t/s, tg_3s =  11.56 t/s
3.15.550.364 I slot print_timing: id  0 | task 0 | n_gen =   1105, tg =  11.83 t/s, tg_3s =  11.50 t/s
3.18.596.081 I slot print_timing: id  0 | task 0 | n_gen =   1140, tg =  11.82 t/s, tg_3s =  11.49 t/s
3.21.647.289 I slot print_timing: id  0 | task 0 | n_gen =   1175, tg =  11.81 t/s, tg_3s =  11.47 t/s
3.24.723.983 I slot print_timing: id  0 | task 0 | n_gen =   1210, tg =  11.80 t/s, tg_3s =  11.38 t/s
3.27.795.504 I slot print_timing: id  0 | task 0 | n_gen =   1245, tg =  11.78 t/s, tg_3s =  11.40 t/s
3.30.854.438 I slot print_timing: id  0 | task 0 | n_gen =   1280, tg =  11.77 t/s, tg_3s =  11.44 t/s
3.33.905.442 I slot print_timing: id  0 | task 0 | n_gen =   1315, tg =  11.77 t/s, tg_3s =  11.47 t/s
3.36.949.414 I slot print_timing: id  0 | task 0 | n_gen =   1350, tg =  11.76 t/s, tg_3s =  11.50 t/s
3.39.982.255 I slot print_timing: id  0 | task 0 | n_gen =   1385, tg =  11.75 t/s, tg_3s =  11.54 t/s
3.43.010.689 I slot print_timing: id  0 | task 0 | n_gen =   1420, tg =  11.75 t/s, tg_3s =  11.56 t/s
3.46.047.092 I slot print_timing: id  0 | task 0 | n_gen =   1455, tg =  11.74 t/s, tg_3s =  11.53 t/s
3.49.078.933 I slot print_timing: id  0 | task 0 | n_gen =   1490, tg =  11.74 t/s, tg_3s =  11.54 t/s
3.52.097.408 I slot print_timing: id  0 | task 0 | n_gen =   1525, tg =  11.73 t/s, tg_3s =  11.60 t/s
3.55.125.638 I slot print_timing: id  0 | task 0 | n_gen =   1560, tg =  11.73 t/s, tg_3s =  11.56 t/s
3.58.143.465 I slot print_timing: id  0 | task 0 | n_gen =   1595, tg =  11.73 t/s, tg_3s =  11.60 t/s
4.01.155.717 I slot print_timing: id  0 | task 0 | n_gen =   1630, tg =  11.73 t/s, tg_3s =  11.62 t/s
4.04.166.674 I slot print_timing: id  0 | task 0 | n_gen =   1665, tg =  11.72 t/s, tg_3s =  11.62 t/s
4.07.181.727 I slot print_timing: id  0 | task 0 | n_gen =   1700, tg =  11.72 t/s, tg_3s =  11.61 t/s
4.10.214.524 I slot print_timing: id  0 | task 0 | n_gen =   1735, tg =  11.72 t/s, tg_3s =  11.54 t/s
4.13.237.730 I slot print_timing: id  0 | task 0 | n_gen =   1770, tg =  11.71 t/s, tg_3s =  11.58 t/s
4.16.263.097 I slot print_timing: id  0 | task 0 | n_gen =   1805, tg =  11.71 t/s, tg_3s =  11.57 t/s
4.19.290.495 I slot print_timing: id  0 | task 0 | n_gen =   1840, tg =  11.71 t/s, tg_3s =  11.56 t/s
4.22.320.830 I slot print_timing: id  0 | task 0 | n_gen =   1875, tg =  11.71 t/s, tg_3s =  11.55 t/s
4.25.358.042 I slot print_timing: id  0 | task 0 | n_gen =   1910, tg =  11.70 t/s, tg_3s =  11.52 t/s
4.28.396.425 I slot print_timing: id  0 | task 0 | n_gen =   1945, tg =  11.70 t/s, tg_3s =  11.52 t/s
4.31.449.978 I slot print_timing: id  0 | task 0 | n_gen =   1980, tg =  11.69 t/s, tg_3s =  11.46 t/s
4.34.498.064 I slot print_timing: id  0 | task 0 | n_gen =   2015, tg =  11.69 t/s, tg_3s =  11.48 t/s
4.37.542.567 I slot print_timing: id  0 | task 0 | n_gen =   2050, tg =  11.69 t/s, tg_3s =  11.50 t/s
4.40.604.282 I slot print_timing: id  0 | task 0 | n_gen =   2085, tg =  11.68 t/s, tg_3s =  11.43 t/s
4.43.652.395 I slot print_timing: id  0 | task 0 | n_gen =   2120, tg =  11.68 t/s, tg_3s =  11.48 t/s
4.46.708.948 I slot print_timing: id  0 | task 0 | n_gen =   2155, tg =  11.68 t/s, tg_3s =  11.45 t/s
4.49.762.162 I slot print_timing: id  0 | task 0 | n_gen =   2190, tg =  11.67 t/s, tg_3s =  11.46 t/s
4.52.831.099 I slot print_timing: id  0 | task 0 | n_gen =   2225, tg =  11.67 t/s, tg_3s =  11.40 t/s
4.55.896.691 I slot print_timing: id  0 | task 0 | n_gen =   2260, tg =  11.66 t/s, tg_3s =  11.42 t/s
4.58.953.963 I slot print_timing: id  0 | task 0 | n_gen =   2295, tg =  11.66 t/s, tg_3s =  11.45 t/s
5.02.011.269 I slot print_timing: id  0 | task 0 | n_gen =   2330, tg =  11.66 t/s, tg_3s =  11.45 t/s
5.05.071.477 I slot print_timing: id  0 | task 0 | n_gen =   2365, tg =  11.65 t/s, tg_3s =  11.44 t/s
5.08.125.676 I slot print_timing: id  0 | task 0 | n_gen =   2400, tg =  11.65 t/s, tg_3s =  11.46 t/s
5.11.181.270 I slot print_timing: id  0 | task 0 | n_gen =   2435, tg =  11.65 t/s, tg_3s =  11.45 t/s
5.14.224.310 I slot print_timing: id  0 | task 0 | n_gen =   2470, tg =  11.65 t/s, tg_3s =  11.50 t/s
5.17.288.923 I slot print_timing: id  0 | task 0 | n_gen =   2505, tg =  11.64 t/s, tg_3s =  11.42 t/s
5.20.337.708 I slot print_timing: id  0 | task 0 | n_gen =   2540, tg =  11.64 t/s, tg_3s =  11.48 t/s
5.23.381.901 I slot print_timing: id  0 | task 0 | n_gen =   2575, tg =  11.64 t/s, tg_3s =  11.50 t/s
5.26.426.099 I slot print_timing: id  0 | task 0 | n_gen =   2610, tg =  11.64 t/s, tg_3s =  11.50 t/s
5.29.471.491 I slot print_timing: id  0 | task 0 | n_gen =   2645, tg =  11.63 t/s, tg_3s =  11.49 t/s
5.32.516.774 I slot print_timing: id  0 | task 0 | n_gen =   2680, tg =  11.63 t/s, tg_3s =  11.49 t/s
5.35.564.930 I slot print_timing: id  0 | task 0 | n_gen =   2715, tg =  11.63 t/s, tg_3s =  11.48 t/s
5.38.626.644 I slot print_timing: id  0 | task 0 | n_gen =   2750, tg =  11.63 t/s, tg_3s =  11.43 t/s
5.41.694.968 I slot print_timing: id  0 | task 0 | n_gen =   2785, tg =  11.63 t/s, tg_3s =  11.41 t/s
5.44.759.395 I slot print_timing: id  0 | task 0 | n_gen =   2820, tg =  11.62 t/s, tg_3s =  11.42 t/s
5.47.827.406 I slot print_timing: id  0 | task 0 | n_gen =   2855, tg =  11.62 t/s, tg_3s =  11.41 t/s
5.50.900.466 I slot print_timing: id  0 | task 0 | n_gen =   2890, tg =  11.62 t/s, tg_3s =  11.39 t/s
5.53.975.150 I slot print_timing: id  0 | task 0 | n_gen =   2925, tg =  11.61 t/s, tg_3s =  11.38 t/s
5.57.047.263 I slot print_timing: id  0 | task 0 | n_gen =   2960, tg =  11.61 t/s, tg_3s =  11.39 t/s
6.00.134.695 I slot print_timing: id  0 | task 0 | n_gen =   2995, tg =  11.61 t/s, tg_3s =  11.34 t/s
6.03.220.367 I slot print_timing: id  0 | task 0 | n_gen =   3030, tg =  11.61 t/s, tg_3s =  11.34 t/s
6.06.303.745 I slot print_timing: id  0 | task 0 | n_gen =   3065, tg =  11.60 t/s, tg_3s =  11.35 t/s
6.09.383.894 I slot print_timing: id  0 | task 0 | n_gen =   3100, tg =  11.60 t/s, tg_3s =  11.36 t/s
