0.00.278.567 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.279.132 W srv  llama_server: -----------------
0.00.279.140 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.279.141 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.279.141 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.279.141 W srv  llama_server: -----------------
0.00.280.550 I srv    load_model: loading model '/kaggle/input/datasets/devavratpatni/circuit-repro-gguf-qwen32/Qwen3-32B-Q4_K_S.gguf'
0.01.597.419 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
2.54.704.199 I cmn          init: llama threadpool init, n_threads = 2
2.55.103.718 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
2.55.119.853 I srv  llama_server: model loaded
2.55.119.871 I srv  llama_server: listening on http://127.0.0.1:8080
2.55.119.871 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
2.55.119.872 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
2.56.760.295 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.56.760.383 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
3.08.438.277 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  12.03 t/s, tg_3s =  12.15 t/s
3.11.516.793 I slot print_timing: id  0 | task 0 | n_gen =    137, tg =  12.03 t/s, tg_3s =  12.02 t/s
3.14.597.675 I slot print_timing: id  0 | task 0 | n_gen =    174, tg =  12.02 t/s, tg_3s =  12.01 t/s
3.17.606.352 I slot print_timing: id  0 | task 0 | n_gen =    210, tg =  12.01 t/s, tg_3s =  11.97 t/s
3.20.610.634 I slot print_timing: id  0 | task 0 | n_gen =    246, tg =  12.01 t/s, tg_3s =  11.98 t/s
3.23.617.322 I slot print_timing: id  0 | task 0 | n_gen =    282, tg =  12.00 t/s, tg_3s =  11.97 t/s
3.26.627.585 I slot print_timing: id  0 | task 0 | n_gen =    318, tg =  12.00 t/s, tg_3s =  11.96 t/s
3.29.635.002 I slot print_timing: id  0 | task 0 | n_gen =    354, tg =  12.00 t/s, tg_3s =  11.97 t/s
3.32.649.815 I slot print_timing: id  0 | task 0 | n_gen =    390, tg =  11.99 t/s, tg_3s =  11.94 t/s
3.35.676.448 I slot print_timing: id  0 | task 0 | n_gen =    426, tg =  11.98 t/s, tg_3s =  11.89 t/s
3.38.705.921 I slot print_timing: id  0 | task 0 | n_gen =    462, tg =  11.97 t/s, tg_3s =  11.88 t/s
3.41.741.088 I slot print_timing: id  0 | task 0 | n_gen =    498, tg =  11.97 t/s, tg_3s =  11.86 t/s
3.44.785.097 I slot print_timing: id  0 | task 0 | n_gen =    534, tg =  11.96 t/s, tg_3s =  11.83 t/s
3.47.823.876 I slot print_timing: id  0 | task 0 | n_gen =    570, tg =  11.95 t/s, tg_3s =  11.85 t/s
3.50.861.433 I slot print_timing: id  0 | task 0 | n_gen =    606, tg =  11.94 t/s, tg_3s =  11.85 t/s
3.53.900.634 I slot print_timing: id  0 | task 0 | n_gen =    642, tg =  11.94 t/s, tg_3s =  11.85 t/s
3.56.953.806 I slot print_timing: id  0 | task 0 | n_gen =    678, tg =  11.93 t/s, tg_3s =  11.79 t/s
4.00.005.158 I slot print_timing: id  0 | task 0 | n_gen =    714, tg =  11.92 t/s, tg_3s =  11.80 t/s
4.03.052.487 I slot print_timing: id  0 | task 0 | n_gen =    750, tg =  11.92 t/s, tg_3s =  11.81 t/s
4.06.108.164 I slot print_timing: id  0 | task 0 | n_gen =    786, tg =  11.91 t/s, tg_3s =  11.78 t/s
4.09.156.516 I slot print_timing: id  0 | task 0 | n_gen =    822, tg =  11.91 t/s, tg_3s =  11.81 t/s
4.12.214.155 I slot print_timing: id  0 | task 0 | n_gen =    858, tg =  11.90 t/s, tg_3s =  11.77 t/s
4.15.277.247 I slot print_timing: id  0 | task 0 | n_gen =    894, tg =  11.90 t/s, tg_3s =  11.75 t/s
4.18.296.519 I slot print_timing: id  0 | task 0 | n_gen =    929, tg =  11.88 t/s, tg_3s =  11.59 t/s
4.21.372.975 I slot print_timing: id  0 | task 0 | n_gen =    965, tg =  11.88 t/s, tg_3s =  11.70 t/s
4.24.377.933 I slot print_timing: id  0 | task 0 | n_gen =   1000, tg =  11.87 t/s, tg_3s =  11.65 t/s
4.27.398.727 I slot print_timing: id  0 | task 0 | n_gen =   1035, tg =  11.86 t/s, tg_3s =  11.59 t/s
4.30.411.113 I slot print_timing: id  0 | task 0 | n_gen =   1070, tg =  11.85 t/s, tg_3s =  11.62 t/s
4.33.431.002 I slot print_timing: id  0 | task 0 | n_gen =   1105, tg =  11.84 t/s, tg_3s =  11.59 t/s
4.36.470.344 I slot print_timing: id  0 | task 0 | n_gen =   1140, tg =  11.83 t/s, tg_3s =  11.52 t/s
4.39.512.028 I slot print_timing: id  0 | task 0 | n_gen =   1175, tg =  11.82 t/s, tg_3s =  11.51 t/s
4.42.553.103 I slot print_timing: id  0 | task 0 | n_gen =   1210, tg =  11.81 t/s, tg_3s =  11.51 t/s
4.45.592.663 I slot print_timing: id  0 | task 0 | n_gen =   1245, tg =  11.80 t/s, tg_3s =  11.51 t/s
4.48.649.645 I slot print_timing: id  0 | task 0 | n_gen =   1280, tg =  11.79 t/s, tg_3s =  11.45 t/s
4.51.716.679 I slot print_timing: id  0 | task 0 | n_gen =   1315, tg =  11.78 t/s, tg_3s =  11.41 t/s
4.54.758.972 I slot print_timing: id  0 | task 0 | n_gen =   1349, tg =  11.77 t/s, tg_3s =  11.18 t/s
4.57.773.329 I slot print_timing: id  0 | task 0 | n_gen =   1383, tg =  11.76 t/s, tg_3s =  11.28 t/s
5.00.782.868 I slot print_timing: id  0 | task 0 | n_gen =   1417, tg =  11.74 t/s, tg_3s =  11.30 t/s
5.03.798.053 I slot print_timing: id  0 | task 0 | n_gen =   1451, tg =  11.73 t/s, tg_3s =  11.28 t/s
5.06.824.278 I slot print_timing: id  0 | task 0 | n_gen =   1485, tg =  11.72 t/s, tg_3s =  11.24 t/s
5.09.859.134 I slot print_timing: id  0 | task 0 | n_gen =   1519, tg =  11.71 t/s, tg_3s =  11.20 t/s
5.12.902.616 I slot print_timing: id  0 | task 0 | n_gen =   1553, tg =  11.70 t/s, tg_3s =  11.17 t/s
5.15.958.725 I slot print_timing: id  0 | task 0 | n_gen =   1587, tg =  11.68 t/s, tg_3s =  11.13 t/s
5.19.016.463 I slot print_timing: id  0 | task 0 | n_gen =   1621, tg =  11.67 t/s, tg_3s =  11.12 t/s
5.22.079.353 I slot print_timing: id  0 | task 0 | n_gen =   1655, tg =  11.66 t/s, tg_3s =  11.10 t/s
5.25.148.545 I slot print_timing: id  0 | task 0 | n_gen =   1689, tg =  11.65 t/s, tg_3s =  11.08 t/s
5.28.211.764 I slot print_timing: id  0 | task 0 | n_gen =   1723, tg =  11.63 t/s, tg_3s =  11.10 t/s
5.31.266.730 I slot print_timing: id  0 | task 0 | n_gen =   1757, tg =  11.62 t/s, tg_3s =  11.13 t/s
5.34.332.209 I slot print_timing: id  0 | task 0 | n_gen =   1791, tg =  11.61 t/s, tg_3s =  11.09 t/s
5.37.400.583 I slot print_timing: id  0 | task 0 | n_gen =   1825, tg =  11.60 t/s, tg_3s =  11.08 t/s
5.40.460.446 I slot print_timing: id  0 | task 0 | n_gen =   1859, tg =  11.59 t/s, tg_3s =  11.11 t/s
5.43.515.318 I slot print_timing: id  0 | task 0 | n_gen =   1893, tg =  11.59 t/s, tg_3s =  11.13 t/s
5.46.584.832 I slot print_timing: id  0 | task 0 | n_gen =   1927, tg =  11.58 t/s, tg_3s =  11.08 t/s
5.49.666.319 I slot print_timing: id  0 | task 0 | n_gen =   1961, tg =  11.57 t/s, tg_3s =  11.03 t/s
5.52.744.331 I slot print_timing: id  0 | task 0 | n_gen =   1995, tg =  11.56 t/s, tg_3s =  11.05 t/s
5.55.747.855 I slot print_timing: id  0 | task 0 | n_gen =   2028, tg =  11.55 t/s, tg_3s =  10.99 t/s
5.58.815.369 I slot print_timing: id  0 | task 0 | n_gen =   2062, tg =  11.54 t/s, tg_3s =  11.08 t/s
6.01.895.412 I slot print_timing: id  0 | task 0 | n_gen =   2096, tg =  11.53 t/s, tg_3s =  11.04 t/s
