 frequency       nfr             nfminr          rnr            
 1.00000000e+08  5.97167428e+00  8.67894720e-15  1.47759435e+02 
 1.12201845e+08  5.97167201e+00  1.73578944e-14  1.47759304e+02 
 1.25892541e+08  5.97166908e+00  0.00000000e+00  1.47759139e+02 
 1.41253754e+08  5.97166542e+00  0.00000000e+00  1.47758932e+02 
 1.58489319e+08  5.97166083e+00  0.00000000e+00  1.47758671e+02 
 1.77827941e+08  5.97165506e+00  0.00000000e+00  1.47758342e+02 
 1.99526231e+08  5.97164778e+00  0.00000000e+00  1.47757929e+02 
 2.23872114e+08  5.97163864e+00  0.00000000e+00  1.47757408e+02 
 2.51188643e+08  5.97162712e+00  0.00000000e+00  1.47756752e+02 
 2.81838293e+08  5.97161257e+00  9.64327467e-15  1.47755927e+02 
 3.16227766e+08  5.97159413e+00  3.85730987e-15  1.47754887e+02 
 3.54813389e+08  5.97157139e+00  0.00000000e+00  1.47753579e+02 
 3.98107171e+08  5.97154244e+00  0.00000000e+00  1.47751932e+02 
 4.46683592e+08  5.97150552e+00  9.64327467e-15  1.47749859e+02 
 5.01187234e+08  5.97145966e+00  4.82163733e-15  1.47747249e+02 
 5.62341325e+08  5.97140171e+00  0.00000000e+00  1.47743963e+02 
 6.30957344e+08  5.97132990e+00  0.00000000e+00  1.47739826e+02 
 7.07945784e+08  5.97123689e+00  6.75029227e-15  1.47734619e+02 
 7.94328235e+08  5.97112158e+00  1.35005845e-14  1.47728065e+02 
 8.91250938e+08  5.97097684e+00  0.00000000e+00  1.47719813e+02 
 1.00000000e+09  5.97079453e+00  0.00000000e+00  1.47709427e+02 
 1.12201845e+09  5.97056419e+00  0.00000000e+00  1.47696354e+02 
 1.25892541e+09  5.97027241e+00  9.64327467e-16  1.47679898e+02 
 1.41253754e+09  5.96990918e+00  0.00000000e+00  1.47659188e+02 
 1.58489319e+09  5.96945104e+00  0.00000000e+00  1.47633123e+02 
 1.77827941e+09  5.96887610e+00  0.00000000e+00  1.47600322e+02 
 1.99526231e+09  5.96815210e+00  1.25362571e-14  1.47559049e+02 
 2.23872114e+09  5.96722625e+00  1.25362571e-14  1.47507122e+02 
 2.51188643e+09  5.96607973e+00  0.00000000e+00  1.47441802e+02 
 2.81838293e+09  5.96463911e+00  0.00000000e+00  1.47359651e+02 
 3.16227766e+09  5.96282326e+00  0.00000000e+00  1.47256359e+02 
 3.54813389e+09  5.96051020e+00  0.00000000e+00  1.47126528e+02 
 3.98107171e+09  5.95764158e+00  6.75029227e-15  1.46963405e+02 
 4.46683592e+09  5.95402373e+00  8.67894720e-15  1.46758560e+02 
 5.01187234e+09  5.94945061e+00  5.78596480e-15  1.46501485e+02 
 5.62341325e+09  5.94371700e+00  6.75029227e-15  1.46179125e+02 
 6.30957344e+09  5.93670244e+00  0.00000000e+00  1.45775310e+02 
 7.07945784e+09  5.92764942e+00  0.00000000e+00  1.45270097e+02 
 7.94328235e+09  5.91631020e+00  9.64327467e-16  1.44639030e+02 
 8.91250938e+09  5.90226394e+00  0.00000000e+00  1.43852318e+02 
 1.00000000e+10  5.88482385e+00  1.83222219e-14  1.42873991e+02 
 1.12201845e+10 -nan -nan  1.41661112e+02 
 1.25892541e+10  5.83589051e+00  1.15719296e-14  1.40163159e+02 
 1.41253754e+10  5.80199392e+00  0.00000000e+00  1.38321801e+02 
 1.58489319e+10  5.76081722e+00  0.00000000e+00  1.36071343e+02 
 1.77827941e+10  5.71012912e+00  1.73578944e-14  1.33340218e+02 
 1.99526231e+10  5.64792146e+00 -4.82163733e-16  1.30053984e+02 
