W_um,Vds_V,Vgs_V,Id_A,gm_S,gmb_S,Cgs_F,Cgd_F,fT_Hz
10,0.6,0.2000,1.077341e-04,2.051189e-03,3.885689e-07,1.126289e-16,2.544068e-19,2.891986e+12
10,0.6,0.2250,1.703053e-04,2.996231e-03,1.517644e-06,2.333706e-16,5.320526e-19,2.038732e+12
10,0.6,0.2500,2.595844e-04,4.184462e-03,5.382924e-06,4.935214e-16,1.131699e-18,1.346353e+12
10,0.6,0.2750,3.811558e-04,5.566496e-03,1.200488e-05,1.001999e-15,2.305599e-18,8.821381e+11
10,0.6,0.3000,5.386565e-04,7.037821e-03,2.176198e-05,1.794611e-15,4.134777e-18,6.227139e+11
10,0.6,0.3250,7.326667e-04,8.464946e-03,3.432426e-05,2.708512e-15,6.235086e-18,4.962664e+11
10,0.6,0.3500,9.605031e-04,9.724040e-03,4.873748e-05,3.510670e-15,8.063371e-18,4.398257e+11
10,0.6,0.3750,1.216728e-03,1.073135e-02,6.380669e-05,4.105383e-15,9.407386e-18,4.150753e+11
10,0.6,0.4000,1.494896e-03,1.148074e-02,7.853979e-05,4.529594e-15,1.034125e-17,4.024762e+11
10,0.6,0.4250,1.788777e-03,1.199438e-02,9.234381e-05,4.839791e-15,1.099792e-17,3.935371e+11
10,0.6,0.4500,2.092967e-03,1.231291e-02,1.049956e-04,5.077884e-15,1.147635e-17,3.850505e+11
10,0.6,0.4750,2.403139e-03,1.248009e-02,1.165185e-04,5.269270e-15,1.183654e-17,3.761082e+11
10,0.6,0.5000,2.716007e-03,1.253466e-02,1.270565e-04,5.428637e-15,1.211309e-17,3.666687e+11
10,0.6,0.5250,3.029160e-03,1.250754e-02,1.367867e-04,5.564660e-15,1.232629e-17,3.569378e+11
10,0.6,0.5500,3.340861e-03,1.242195e-02,1.458719e-04,5.682745e-15,1.248858e-17,3.471350e+11
10,0.6,0.5750,3.649868e-03,1.229465e-02,1.544422e-04,5.786486e-15,1.260811e-17,3.374243e+11
10,0.6,0.6000,3.955297e-03,1.213749e-02,1.625920e-04,5.878421e-15,1.269044e-17,3.279078e+11
10,0.6,0.6250,4.256509e-03,1.195870e-02,1.703842e-04,5.960441e-15,1.273960e-17,3.186385e+11
10,0.6,0.6500,4.553038e-03,1.176395e-02,1.778568e-04,6.034006e-15,1.275855e-17,3.096352e+11
10,0.6,0.6750,4.844537e-03,1.155715e-02,1.850294e-04,6.100279e-15,1.274953e-17,3.008947e+11
10,0.6,0.7000,5.130739e-03,1.134093e-02,1.919075e-04,6.160203e-15,1.271422e-17,2.924006e+11
10,0.6,0.7250,5.411433e-03,1.111706e-02,1.984870e-04,6.214560e-15,1.265389e-17,2.841295e+11
10,0.6,0.7500,5.686443e-03,1.088669e-02,2.047564e-04,6.264000e-15,1.256947e-17,2.760538e+11
10,0.6,0.7750,5.955614e-03,1.065053e-02,2.106987e-04,6.309075e-15,1.246161e-17,2.681443e+11
10,0.6,0.8000,6.218806e-03,1.040893e-02,2.162921e-04,6.350253e-15,1.233074e-17,2.603711e+11
10,0.6,0.8250,6.475887e-03,1.016203e-02,2.215106e-04,6.387935e-15,1.217707e-17,2.527044e+11
10,0.6,0.8500,6.726721e-03,9.909721e-03,2.263241e-04,6.422470e-15,1.200066e-17,2.451143e+11
10,0.6,0.8750,6.971170e-03,9.651770e-03,2.306985e-04,6.454159e-15,1.180140e-17,2.375713e+11
10,0.6,0.9000,7.209088e-03,9.387795e-03,2.345959e-04,6.483266e-15,1.157906e-17,2.300462e+11
20,0.6,0.2000,2.155995e-04,4.104774e-03,7.769601e-07,2.254068e-16,5.091518e-19,2.891761e+12
20,0.6,0.2250,3.408052e-04,5.995733e-03,3.037756e-06,4.670337e-16,1.064773e-18,2.038568e+12
20,0.6,0.2500,5.194474e-04,8.373196e-03,1.077231e-05,9.876191e-16,2.264721e-18,1.346255e+12
20,0.6,0.2750,7.626959e-04,1.113831e-02,2.402219e-05,2.005072e-15,4.613670e-18,8.820869e+11
20,0.6,0.3000,1.077824e-03,1.408198e-02,4.354419e-05,3.591007e-15,8.273666e-18,6.226845e+11
20,0.6,0.3250,1.465989e-03,1.693712e-02,6.867787e-05,5.419608e-15,1.247612e-17,4.962416e+11
20,0.6,0.3500,1.921820e-03,1.945605e-02,9.751407e-05,7.024656e-15,1.613436e-17,4.397981e+11
20,0.6,0.3750,2.434436e-03,2.147123e-02,1.276623e-04,8.214656e-15,1.882370e-17,4.150435e+11
20,0.6,0.4000,2.990942e-03,2.297040e-02,1.571377e-04,9.063502e-15,2.069239e-17,4.024410e+11
20,0.6,0.4250,3.578874e-03,2.399796e-02,1.847542e-04,9.684208e-15,2.200640e-17,3.934999e+11
20,0.6,0.4500,4.187418e-03,2.463519e-02,2.100653e-04,1.016063e-14,2.296376e-17,3.850125e+11
20,0.6,0.4750,4.807916e-03,2.496963e-02,2.331177e-04,1.054359e-14,2.368452e-17,3.760705e+11
20,0.6,0.5000,5.433798e-03,2.507882e-02,2.541995e-04,1.086248e-14,2.423793e-17,3.666320e+11
20,0.6,0.5250,6.060236e-03,2.502460e-02,2.736648e-04,1.113465e-14,2.466455e-17,3.569028e+11
20,0.6,0.5500,6.683755e-03,2.485342e-02,2.918394e-04,1.137092e-14,2.498935e-17,3.471020e+11
20,0.6,0.5750,7.301871e-03,2.459881e-02,3.089834e-04,1.157849e-14,2.522856e-17,3.373937e+11
20,0.6,0.6000,7.912811e-03,2.428448e-02,3.252856e-04,1.176244e-14,2.539337e-17,3.278799e+11
20,0.6,0.6250,8.515297e-03,2.392689e-02,3.408721e-04,1.192655e-14,2.549182e-17,3.186136e+11
20,0.6,0.6500,9.108397e-03,2.353742e-02,3.558190e-04,1.207374e-14,2.552985e-17,3.096135e+11
20,0.6,0.6750,9.691414e-03,2.312385e-02,3.701651e-04,1.220633e-14,2.551194e-17,3.008765e+11
20,0.6,0.7000,1.026381e-02,2.269147e-02,3.839218e-04,1.232622e-14,2.544146e-17,2.923864e+11
20,0.6,0.7250,1.082517e-02,2.224382e-02,3.970808e-04,1.243497e-14,2.532096e-17,2.841195e+11
20,0.6,0.7500,1.137513e-02,2.178320e-02,4.096195e-04,1.253389e-14,2.515231e-17,2.760486e+11
20,0.6,0.7750,1.191338e-02,2.131103e-02,4.215036e-04,1.262406e-14,2.493683e-17,2.681443e+11
20,0.6,0.8000,1.243965e-02,2.082805e-02,4.326897e-04,1.270644e-14,2.467536e-17,2.603769e+11
20,0.6,0.8250,1.295366e-02,2.033450e-02,4.431260e-04,1.278182e-14,2.436837e-17,2.527166e+11
20,0.6,0.8500,1.345515e-02,1.983021e-02,4.527528e-04,1.285090e-14,2.401599e-17,2.451338e+11
20,0.6,0.8750,1.394384e-02,1.931471e-02,4.615021e-04,1.291429e-14,2.361803e-17,2.375989e+11
20,0.6,0.9000,1.441942e-02,1.878725e-02,4.692984e-04,1.297251e-14,2.317402e-17,2.300829e+11
40,0.6,0.2000,4.314930e-04,8.214549e-03,1.549896e-06,4.512175e-16,1.019227e-18,2.890933e+12
40,0.6,0.2250,6.819826e-04,1.199727e-02,6.084473e-06,9.347714e-16,2.131162e-18,2.038019e+12
40,0.6,0.2500,1.039338e-03,1.675271e-02,2.155914e-05,1.976391e-15,4.532095e-18,1.345976e+12
40,0.6,0.2750,1.525881e-03,2.228304e-02,4.806299e-05,4.011718e-15,9.230965e-18,8.819949e+11
40,0.6,0.3000,2.156142e-03,2.817014e-02,8.710754e-05,7.183712e-15,1.655125e-17,6.226741e+11
40,0.6,0.3250,2.932422e-03,3.388010e-02,1.373714e-04,1.084091e-14,2.495616e-17,4.962500e+11
40,0.6,0.3500,3.843971e-03,3.891781e-02,1.950376e-04,1.405124e-14,3.227319e-17,4.398023e+11
40,0.6,0.3750,4.869028e-03,4.294829e-02,2.553272e-04,1.643166e-14,3.765289e-17,4.150404e+11
40,0.6,0.4000,5.981802e-03,4.594704e-02,3.142720e-04,1.812978e-14,4.139132e-17,4.024341e+11
40,0.6,0.4250,7.157367e-03,4.800280e-02,3.694999e-04,1.937152e-14,4.402020e-17,3.934932e+11
40,0.6,0.4500,8.374089e-03,4.927803e-02,4.201173e-04,2.032460e-14,4.593559e-17,3.850092e+11
40,0.6,0.4750,9.614651e-03,4.994778e-02,4.662168e-04,2.109066e-14,4.737765e-17,3.760725e+11
40,0.6,0.5000,1.086590e-02,5.016704e-02,5.083734e-04,2.172852e-14,4.848491e-17,3.666404e+11
40,0.6,0.5250,1.211818e-02,5.005952e-02,5.472947e-04,2.227292e-14,4.933858e-17,3.569182e+11
40,0.6,0.5500,1.336452e-02,4.971811e-02,5.836318e-04,2.274549e-14,4.998860e-17,3.471250e+11
40,0.6,0.5750,1.459995e-02,4.920990e-02,6.179048e-04,2.316063e-14,5.046752e-17,3.374247e+11
40,0.6,0.6000,1.582092e-02,4.858231e-02,6.504913e-04,2.352851e-14,5.079774e-17,3.279195e+11
40,0.6,0.6250,1.702485e-02,4.786831e-02,6.816432e-04,2.385668e-14,5.099535e-17,3.186624e+11
40,0.6,0.6500,1.820986e-02,4.709068e-02,7.115130e-04,2.415101e-14,5.107229e-17,3.096723e+11
40,0.6,0.6750,1.937456e-02,4.626502e-02,7.401785e-04,2.441613e-14,5.103756e-17,3.009464e+11
40,0.6,0.7000,2.051786e-02,4.540194e-02,7.676630e-04,2.465583e-14,5.089798e-17,2.924686e+11
40,0.6,0.7250,2.163890e-02,4.450856e-02,7.939506e-04,2.487324e-14,5.065868e-17,2.842155e+11
40,0.6,0.7500,2.273696e-02,4.358954e-02,8.189964e-04,2.507096e-14,5.032347e-17,2.761599e+11
40,0.6,0.7750,2.381141e-02,4.264774e-02,8.427332e-04,2.525119e-14,4.989508e-17,2.682730e+11
40,0.6,0.8000,2.486169e-02,4.168472e-02,8.650756e-04,2.541582e-14,4.937532e-17,2.605254e+11
40,0.6,0.8250,2.588724e-02,4.070102e-02,8.859218e-04,2.556646e-14,4.876522e-17,2.528875e+11
40,0.6,0.8500,2.688752e-02,3.969640e-02,9.051545e-04,2.570448e-14,4.806517e-17,2.453302e+11
40,0.6,0.8750,2.786196e-02,3.866997e-02,9.226411e-04,2.583111e-14,4.727496e-17,2.378246e+11
40,0.6,0.9000,2.881000e-02,3.762038e-02,9.382342e-04,2.594740e-14,4.639386e-17,2.303422e+11
80,0.6,0.2000,8.645812e-04,1.645492e-02,3.064961e-06,9.048783e-16,2.044060e-18,2.887659e+12
80,0.6,0.2250,1.365757e-03,2.402062e-02,1.222987e-05,1.873542e-15,4.271524e-18,2.035879e+12
80,0.6,0.2500,2.080434e-03,3.352804e-02,4.319734e-05,3.958545e-15,9.077480e-18,1.344924e+12
80,0.6,0.2750,3.053094e-03,4.458125e-02,9.619408e-05,8.029000e-15,1.847477e-17,8.816837e+11
80,0.6,0.3000,4.312644e-03,5.634535e-02,1.742256e-04,1.436844e-14,3.310483e-17,6.226860e+11
80,0.6,0.3250,5.863593e-03,6.775517e-02,2.746489e-04,2.167639e-14,4.989993e-17,4.963373e+11
80,0.6,0.3500,7.684416e-03,7.782332e-02,3.898476e-04,2.809335e-14,6.452560e-17,4.398758e+11
80,0.6,0.3750,9.731626e-03,8.588085e-02,5.102878e-04,3.285340e-14,7.528384e-17,4.150899e+11
80,0.6,0.4000,1.195369e-02,9.187884e-02,6.280492e-04,3.625002e-14,8.276257e-17,4.024732e+11
80,0.6,0.4250,1.430078e-02,9.599393e-02,7.383917e-04,3.873395e-14,8.802266e-17,3.935376e+11
80,0.6,0.4500,1.672965e-02,9.855003e-02,8.395234e-04,4.064027e-14,9.185540e-17,3.850701e+11
80,0.6,0.4750,1.920563e-02,9.989642e-02,9.316210e-04,4.217227e-14,9.474119e-17,3.761565e+11
80,0.6,0.5000,2.170238e-02,1.003426e-01,1.015826e-03,4.344763e-14,9.695736e-17,3.667510e+11
80,0.6,0.5250,2.420053e-02,1.001357e-01,1.093547e-03,4.453588e-14,9.866659e-17,3.570572e+11
80,0.6,0.5500,2.668607e-02,9.946141e-02,1.166081e-03,4.548038e-14,9.996903e-17,3.472938e+11
80,0.6,0.5750,2.914899e-02,9.845406e-02,1.234467e-03,4.630993e-14,1.009300e-16,3.376247e+11
80,0.6,0.6000,3.158208e-02,9.720855e-02,1.299457e-03,4.704487e-14,1.015945e-16,3.281523e+11
80,0.6,0.6250,3.398014e-02,9.579108e-02,1.361556e-03,4.770035e-14,1.019951e-16,3.189305e+11
80,0.6,0.6500,3.633932e-02,9.424737e-02,1.421071e-03,4.828806e-14,1.021558e-16,3.099787e+11
80,0.6,0.6750,3.865670e-02,9.260893e-02,1.478157e-03,4.881731e-14,1.020951e-16,3.012949e+11
80,0.6,0.7000,4.093003e-02,9.089724e-02,1.532866e-03,4.929568e-14,1.018269e-16,2.928639e+11
80,0.6,0.7250,4.315753e-02,8.912683e-02,1.585170e-03,4.972939e-14,1.013620e-16,2.846631e+11
80,0.6,0.7500,4.533769e-02,8.730735e-02,1.634986e-03,5.012369e-14,1.007086e-16,2.766662e+11
80,0.6,0.7750,4.746918e-02,8.544490e-02,1.682187e-03,5.048298e-14,9.987275e-17,2.688456e+11
80,0.6,0.8000,4.955080e-02,8.354305e-02,1.726614e-03,5.081102e-14,9.885881e-17,2.611730e+11
80,0.6,0.8250,5.158140e-02,8.160337e-02,1.768077e-03,5.111103e-14,9.766974e-17,2.536206e+11
80,0.6,0.8500,5.355985e-02,7.962597e-02,1.806360e-03,5.138580e-14,9.630729e-17,2.461606e+11
80,0.6,0.8750,5.548502e-02,7.760979e-02,1.841222e-03,5.163775e-14,9.477224e-17,2.387663e+11
